Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample,,exocarta top100,contém/não contém,,vesiclepedia top100,contém/não contém,,Vesiclepedia+exocarta,,
O43399,1,1,1,1,1,,P21926,#N/D,,Q8WUM4,#N/D,,A0A075B6K6,,701
O75347,1,1,1,1,1,,Q8WUM4,#N/D,,P04406,#N/D,,A0A087WSY6,,1054
P02545,1,1,1,1,1,,P11142,#N/D,,P11142,#N/D,,A0A0B4J2A2,,1668
P05455,1,1,1,1,1,,P04406,#N/D,,P60709,#N/D,,A0A0B4J2D5,,1831
P06748,1,1,1,1,1,,P60709,#N/D,,P07355,#N/D,,A0A0C4DH68,,1874
P23588,1,1,1,1,1,,P07355,#N/D,,P21926,#N/D,,A0A140G945,,2791
P26373,1,1,1,1,1,,P08962,#N/D,,P14618,#N/D,,A0AV02,,2868
P31948,1,1,1,1,1,,O00560,#N/D,,P07900,#N/D,,A0AV96,,3086
P43487,1,1,1,1,1,,P06733,#N/D,,P06733,#N/D,,A0AVF1,,3448
Q13185,1,1,1,1,1,,P07900,#N/D,,P08758,#N/D,,A0AVK6,,4873
Q13263,1,1,1,1,1,,Q99816,#N/D,,P08238,#N/D,,A0AVT1,,4897
Q15369,1,1,1,1,1,,P14618,#N/D,,P08962,#N/D,,A0FGR8,,5377
Q15459,1,1,1,1,1,,P00338,#N/D,,P63104,#N/D,,A0FGR9,,5399
Q9H1E3,1,1,1,1,1,,P68104,#N/D,,P62258,#N/D,,A0JP26,,10046
Q9UBE0,1,1,1,1,1,,P63104,#N/D,,P68104,#N/D,,A0M8Q6,,11121
Q9UBT2,1,1,1,1,1,,P00558,#N/D,,P00558,#N/D,,A0MZ66,,11160
Q9UHD8,1,1,1,1,1,,P13639,#N/D,,Q00610,#N/D,,A0PJK1,,#N/D
Q9Y266,1,1,1,1,1,,P04075,#N/D,,P62937,#N/D,,A0PJW8,,11698
Q9Y3F4,1,1,1,1,1,,P08238,#N/D,,O00560,#N/D,,A0PJX4,,11851
O15355,1,1,1,0,1,,P08758,#N/D,,P04075,#N/D,,A1A4S6,,597
O60841,0,1,1,1,1,,P49327,#N/D,,P13639,#N/D,,A1A4Y4,,953
