Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample
A0A024RBG1,0,0,0,0,1
A0A1B0GWK0,0,0,0,0,1
A0A286YF01,0,0,0,0,1
A0AUZ9,0,0,0,0,1
A0MZ66,0,0,0,0,1
A1X283,0,0,0,0,1
A1Z1Q3,0,0,0,0,1
A2RUC4,0,0,0,0,1
A3KN83,0,0,0,0,1
A4UGR9,0,0,0,0,1
A6H8Y1,0,0,0,0,1
A6NCC3,0,1,0,0,0
A6ND36,0,0,0,0,1
A6NDK9,0,0,0,0,1
A6NFN3,0,0,0,0,1
A6NHQ2,0,1,0,0,0
A6NHR9,0,0,0,0,1
A6NIH7,0,0,0,0,1
A6NJZ7,0,0,0,0,1
A7MCY6,0,1,0,0,0
A8K8P3,0,0,0,0,1
A8MUH7,0,0,0,0,1
A8MWD9,1,0,0,0,0
A8MX34,0,0,0,0,1
A8MXV4,0,0,0,0,1
C9J1S8,0,0,0,0,1
G2XKQ0,1,0,0,0,0
L0R819,0,0,0,0,1
O00170,0,0,0,0,1
O00255,0,0,0,0,1
O00268,0,0,0,0,1
O00329,0,0,0,0,1
O00399,0,0,0,0,1
O00423,0,0,0,0,1
O00425,0,0,0,0,1
O00442,0,0,0,0,1
O00458,0,0,0,0,1
O00459,0,0,0,0,1
O00470,0,0,0,0,1
O00472,0,0,0,0,1
O00479,0,0,0,0,1
O00505,0,0,0,0,1
O00534,0,0,0,0,1
O00541,0,0,0,0,1
O00567,0,0,0,0,1
O00625,0,0,0,0,1
O00635,0,0,0,0,1
O14513,0,0,0,0,1
O14519,0,0,0,0,1
O14531,0,0,0,0,1
O14578,0,0,0,0,1
O14593,0,0,0,0,1
O14639,0,0,0,0,1
O14646,0,1,0,0,0
O14647,0,0,0,0,1
O14686,0,0,0,0,1
O14732,0,0,0,0,1
O14733,0,0,0,0,1
O14776,0,1,0,0,0
O14777,0,0,0,0,1
O14802,0,0,0,0,1
O14924,0,0,0,0,1
O14933,0,0,0,0,1
O15040,0,0,0,0,1
O15054,0,0,0,0,1
O15061,0,0,0,0,1
O15084,0,0,0,0,1
O15116,0,0,0,0,1
O15119,0,0,0,0,1
O15151,0,0,0,0,1
O15160,0,0,0,0,1
O15164,0,0,0,0,1
O15213,0,0,0,0,1
O15226,0,0,0,0,1
O15254,0,0,0,0,1
O15259,0,0,0,0,1
O15305,0,0,0,0,1
O15344,0,0,0,0,1
O15360,0,0,0,0,1
O15381,0,0,0,0,1
O15392,0,0,0,0,1
O15397,0,0,0,0,1
O15539,0,1,0,0,0
O15541,1,0,0,0,0
O15550,0,0,0,0,1
O43159,0,0,0,0,1
O43166,0,0,0,0,1
O43172,0,0,0,0,1
O43196,0,0,0,0,1
O43237,0,0,0,0,1
O43251,0,1,0,0,0
O43281,0,0,0,0,1
O43324,0,0,0,0,1
O43390,0,1,0,0,0
O43395,0,0,0,0,1
O43422,0,0,0,0,1
O43463,0,1,0,0,0
O43593,0,0,0,0,1
O43665,0,0,0,0,1
O43670,0,0,0,0,1
O43719,0,0,0,0,1
O43741,0,0,0,0,1
O43805,0,0,0,0,1
O43824,0,0,0,0,1
O43918,1,0,0,0,0
O60216,0,0,0,0,1
O60231,0,0,0,0,1
O60237,0,0,0,0,1
O60244,0,0,0,0,1
O60256,0,0,0,0,1
O60281,0,0,0,0,1
O60294,0,0,0,0,1
O60299,0,0,0,0,1
O60306,0,0,0,0,1
O60315,0,0,0,0,1
O60318,0,0,0,0,1
O60502,0,0,0,0,1
O60508,0,0,0,0,1
O60524,0,0,0,0,1
O60566,0,0,0,0,1
O60573,0,0,0,0,1
O60663,0,0,0,0,1
O60671,0,0,0,0,1
O60739,0,0,0,0,1
O60810,0,0,0,0,1
O60825,0,0,0,0,1
O60826,0,0,0,0,1
O60828,0,0,0,0,1
O60870,0,0,0,0,1
O60879,0,0,0,0,1
O60885,0,0,0,0,1
O60907,0,0,0,0,1
O60927,0,0,0,0,1
O60942,0,1,0,0,0
O75113,0,0,0,0,1
O75140,0,0,0,0,1
O75147,0,0,0,0,1
O75150,0,0,0,0,1
O75152,0,0,0,0,1
O75170,0,0,0,0,1
O75175,0,0,0,0,1
O75179,0,0,0,0,1
O75182,0,0,0,0,1
O75190,0,0,0,0,1
O75191,0,0,0,0,1
O75342,0,0,0,0,1
O75391,0,0,0,0,1
O75417,0,0,0,0,1
O75420,0,0,0,0,1
O75448,0,0,0,0,1
O75449,0,0,0,0,1
O75475,0,0,0,0,1
O75494,0,0,0,0,1
O75529,0,0,0,0,1
O75530,0,0,0,0,1
O75569,0,0,0,0,1
O75586,1,0,0,0,0
O75602,0,0,0,0,1
O75607,0,0,0,0,1
O75688,0,0,0,0,1
O75689,0,0,0,0,1
O75717,0,1,0,0,0
O75764,0,0,0,0,1
O75792,0,0,0,0,1
O75808,0,0,0,0,1
O75817,0,0,0,0,1
O75818,0,0,0,0,1
O75832,0,0,0,0,1
O75884,0,0,0,0,1
O75909,0,0,0,0,1
O75935,0,0,0,0,1
O75962,0,0,0,0,1
O76071,0,0,0,0,1
O76074,0,0,0,0,1
O76075,0,0,0,0,1
O76094,0,0,0,0,1
O77932,0,0,0,0,1
O94762,1,0,0,0,0
O94776,0,0,0,0,1
O94829,0,0,0,0,1
O94880,0,0,0,0,1
O94906,0,0,0,0,1
O94916,1,0,0,0,0
O94952,0,0,0,0,1
O94988,0,0,0,0,1
O95059,0,0,0,0,1
O95071,0,0,0,0,1
O95081,0,0,0,0,1
O95104,0,0,0,0,1
O95149,0,0,0,0,1
O95155,0,0,0,0,1
O95163,0,0,0,0,1
O95218,0,0,0,0,1
O95239,0,0,0,0,1
O95248,0,0,0,0,1
O95251,0,0,0,0,1
O95273,0,0,0,0,1
O95294,0,0,0,0,1
O95319,0,0,0,0,1
O95359,0,0,0,0,1
O95361,0,0,0,0,1
O95376,0,0,0,0,1
O95379,0,1,0,0,0
O95400,0,0,0,0,1
O95402,0,0,0,0,1
O95416,0,1,0,0,0
O95453,0,0,0,0,1
O95456,0,0,0,0,1
O95551,0,0,0,0,1
O95602,0,0,0,0,1
O95613,0,0,1,0,0
O95619,0,0,0,0,1
O95639,0,0,0,0,1
O95671,0,0,0,0,1
O95714,0,0,0,0,1
O95749,0,0,0,0,1
O95757,1,0,0,0,0
O95786,0,0,1,0,0
O95817,0,0,0,0,1
O95819,0,0,0,0,1
O95825,0,0,0,0,1
O95848,0,0,0,0,1
O95983,0,0,0,0,1
O95985,0,0,0,0,1
O95996,0,0,0,0,1
O95999,0,0,0,0,1
O96006,0,0,0,0,1
O96013,0,0,0,0,1
O96017,0,0,0,0,1
