Protein,Breast,Colon,Ewing_sarcoma,Melanoma,Ovary_patientsample
O43399,1,1,1,1,1
O75347,1,1,1,1,1
P02545,1,1,1,1,1
P05455,1,1,1,1,1
P06748,1,1,1,1,1
P23588,1,1,1,1,1
P26373,1,1,1,1,1
P31948,1,1,1,1,1
P43487,1,1,1,1,1
Q13185,1,1,1,1,1
Q13263,1,1,1,1,1
Q15369,1,1,1,1,1
Q15459,1,1,1,1,1
Q9H1E3,1,1,1,1,1
Q9UBE0,1,1,1,1,1
Q9UBT2,1,1,1,1,1
Q9UHD8,1,1,1,1,1
Q9Y266,1,1,1,1,1
Q9Y3F4,1,1,1,1,1
O15355,1,1,1,0,1
O60841,0,1,1,1,1
P02042,1,1,1,1,0
P05114,1,0,1,1,1
P09012,1,1,1,0,1
P10155,1,1,0,1,1
P13797,1,1,0,1,1
P14324,1,1,0,1,1
P17096,1,1,1,0,1
P17812,1,1,1,0,1
P20962,0,1,1,1,1
P23246,1,1,1,0,1
P25398,1,1,1,0,1
P27816,1,0,1,1,1
P29218,1,1,0,1,1
P39687,1,1,1,0,1
P49321,1,1,1,0,1
P49589,1,1,1,0,1
P54727,1,1,0,1,1
P55010,1,1,1,0,1
P55209,1,1,1,0,1
P58546,1,1,0,1,1
P62081,1,1,1,0,1
P62304,1,1,1,0,1
P62424,1,1,1,0,1
P62917,1,1,1,0,1
P63208,1,1,1,0,1
P83916,1,1,1,0,1
Q01105,1,1,1,0,1
Q01995,1,1,1,0,1
Q02878,1,1,1,0,1
Q04637,1,1,1,0,1
Q05682,1,0,1,1,1
Q07955,1,1,1,0,1
Q08211,1,1,1,0,1
Q12874,1,1,1,0,1
Q13283,1,1,0,1,1
Q13435,1,0,1,1,1
Q13838,0,1,1,1,1
Q14103,1,1,1,0,1
Q14152,1,1,1,0,1
Q15102,1,1,1,0,1
Q15185,1,1,0,1,1
Q15233,1,1,1,0,1
Q15424,1,0,1,1,1
Q15631,1,1,0,1,1
Q15691,1,1,1,0,1
Q15717,1,1,0,1,1
Q1KMD3,1,0,1,1,1
Q8NE71,1,1,1,0,1
Q8TEA8,1,1,1,0,1
Q92841,1,1,1,0,1
Q92945,1,0,1,1,1
Q96AE4,1,1,1,0,1
Q96HC4,1,1,1,0,1
Q9BXJ9,1,1,1,0,1
Q9BZZ5,1,1,0,1,1
Q9UKY7,1,0,1,1,1
Q9UN86,1,0,1,1,1
Q9UNZ2,1,1,1,0,1
Q9Y5B9,1,1,1,0,1
Q9Y5S9,1,0,1,1,1
E9PAV3,1,1,0,0,1
O00303,1,1,0,0,1
O00410,1,1,0,0,1
O00471,1,0,1,0,1
O14974,1,1,0,0,1
O15055,1,1,0,0,1
O15212,1,0,1,0,1
O15371,1,1,0,0,1
O43143,1,1,0,0,1
O43252,1,1,0,0,1
O43396,1,1,0,0,1
O43447,1,1,0,0,1
O60506,1,1,0,0,1
O60869,1,0,1,0,1
O75312,1,1,0,0,1
O75533,0,1,1,0,1
O75663,0,1,1,0,1
O75821,1,1,0,0,1
O76003,1,1,0,0,1
O76021,0,1,1,0,1
O95373,1,1,0,0,1
O95834,1,1,0,0,1
O95861,1,1,0,0,1
O96019,1,1,0,0,1
P06132,1,1,0,0,1
P08243,1,1,0,0,1
P08621,1,0,1,0,1
P08708,1,1,0,0,1
P14678,1,1,0,0,1
P18124,1,1,0,0,1
P18754,1,1,0,0,1
P19623,1,0,0,1,1
P20042,0,0,1,1,1
P20700,1,1,1,0,0
P20810,0,1,0,1,1
P24534,1,1,1,0,0
P26358,1,1,0,0,1
P26640,1,1,0,0,1
P27635,1,1,0,0,1
P27694,1,1,0,0,1
P29144,1,1,0,0,1
P29692,1,1,0,0,1
P31153,1,1,0,0,1
P31943,1,1,0,0,1
P32969,1,1,0,0,1
