individual,group,value 
,CBX3,0
high,CBX3,50
medium ,CBX3,30
low,CBX3,10
not detected,CBX3,10
,CBX3,0
high,EIF4B,10
medium ,EIF4B,50
low,EIF4B,40
not detected,EIF4B,10
,EIF4B,0
high,ELOC,0
medium ,ELOC,0
low,ELOC,0
not detected,ELOC,0
,ELOC,0
high,LMNA,120
medium ,LMNA,0
low,LMNA,0
not detected,LMNA,0
,LMNA,0
high,NPM1,120
medium ,NPM1,0
low,NPM1,0
not detected,NPM1,0
,NPM1,0
high,NUCKS1,100
medium ,NUCKS1,20
low,NUCKS1,0
not detected,NUCKS1,0
,NUCKS1,0
high,NUDC,10
medium ,NUDC,100
low,NUDC,10
not detected,NUDC,0
,NUDC,0
high,RANBP1,30
medium ,RANBP1,30
low,RANBP1,20
not detected,RANBP1,20
,RANBP1,0
high,RPL13,0
medium ,RPL13,100
low,RPL13,20
not detected,RPL13,0
,RPL13,0
high,SAE1,20
medium ,SAE1,100
low,SAE1,0
not detected,SAE1,0
,SAE1,0
high,SAE2,120
medium ,SAE2,0
low,SAE2,0
not detected,SAE2,0
,SAE2,0
high,SEPTIN9,70
medium ,SEPTIN9,50
low,SEPTIN9,0
not detected,SEPTIN9,0
,SEPTIN9,0
high,SF3A1,0
medium ,SF3A1,110
low,SF3A1,0
not detected,SF3A1,0
,SF3A1,0
high,SSB,10
medium ,SSB,90
low,SSB,10
not detected,SSB,0
,SSB,0
high,STIP1,70
medium ,STIP1,30
low,STIP1,10
not detected,STIP1,0
,STIP1,0
high,STRAP,10
medium ,STRAP,100
low,STRAP,10
not detected,STRAP,0
,STRAP,0
high,TBCA,0
medium ,TBCA,50
low,TBCA,50
not detected,TBCA,10
,TBCA,0
high,TPD52L2,30
medium ,TPD52L2,40
low,TPD52L2,50
not detected,TPD52L2,0
,TPD52L2,0
high,TRIM28,100
medium ,TRIM28,0
low,TRIM28,0
not detected,TRIM28,0
,TRIM28,0
