individual,group,value 
,CBX3,0
high,CBX3,40
medium ,CBX3,40
low,CBX3,30
not detected,CBX3,0
,CBX3,0
high,EIF4B,0
medium ,EIF4B,50
low,EIF4B,50
not detected,EIF4B,20
,EIF4B,0
high,ELOC,0
medium ,ELOC,0
low,ELOC,0
not detected,ELOC,0
,ELOC,0
high,LMNA,100
medium ,LMNA,10
low,LMNA,0
not detected,LMNA,0
,LMNA,0
high,NPM1,120
medium ,NPM1,0
low,NPM1,0
not detected,NPM1,0
,NPM1,0
high,NUCKS1,80
medium ,NUCKS1,40
low,NUCKS1,0
not detected,NUCKS1,0
,NUCKS1,0
high,NUDC,10
medium ,NUDC,100
low,NUDC,0
not detected,NUDC,0
,NUDC,0
high,RANBP1,60
medium ,RANBP1,30
low,RANBP1,10
not detected,RANBP1,0
,RANBP1,0
high,RPL13,0
medium ,RPL13,70
low,RPL13,40
not detected,RPL13,10
,RPL13,0
high,SAE1,10
medium ,SAE1,20
low,SAE1,60
not detected,SAE1,30
,SAE1,0
high,SAE2,120
medium ,SAE2,0
low,SAE2,0
not detected,SAE2,0
,SAE2,0
high,SEPTIN9,20
medium ,SEPTIN9,100
low,SEPTIN9,0
not detected,SEPTIN9,0
,SEPTIN9,0
high,SF3A1,0
medium ,SF3A1,120
low,SF3A1,0
not detected,SF3A1,0
,SF3A1,0
high,SSB,100
medium ,SSB,20
low,SSB,0
not detected,SSB,0
,SSB,0
high,STIP1,20
medium ,STIP1,90
low,STIP1,0
not detected,STIP1,0
,STIP1,0
high,STRAP,20
medium ,STRAP,90
low,STRAP,10
not detected,STRAP,0
,STRAP,0
high,TBCA,0
medium ,TBCA,70
low,TBCA,30
not detected,TBCA,10
,TBCA,0
high,TPD52L2,90
medium ,TPD52L2,20
low,TPD52L2,0
not detected,TPD52L2,0
,TPD52L2,0
high,TRIM28,90
medium ,TRIM28,30
low,TRIM28,0
not detected,TRIM28,0
,TRIM28,0
