individual,group,value 
,CBX3,0
high,CBX3,30
medium ,CBX3,30
low,CBX3,0
not detected,CBX3,0
,CBX3,0
high,EIF4B,0
medium ,EIF4B,0
low,EIF4B,0
not detected,EIF4B,30
,EIF4B,0
high,ELOC,0
medium ,ELOC,0
low,ELOC,0
not detected,ELOC,0
,ELOC,0
high,LMNA,60
medium ,LMNA,0
low,LMNA,0
not detected,LMNA,0
,LMNA,0
high,NPM1,60
medium ,NPM1,0
low,NPM1,0
not detected,NPM1,0
,NPM1,0
high,NUCKS1,0
medium ,NUCKS1,30
low,NUCKS1,0
not detected,NUCKS1,0
,NUCKS1,0
high,NUDC,0
medium ,NUDC,30
low,NUDC,0
not detected,NUDC,30
,NUDC,0
high,RANBP1,0
medium ,RANBP1,0
low,RANBP1,0
not detected,RANBP1,30
,RANBP1,0
high,RPL13,0
medium ,RPL13,20
low,RPL13,0
not detected,RPL13,0
,RPL13,0
high,SAE1,0
medium ,SAE1,0
low,SAE1,0
not detected,SAE1,60
,SAE1,0
high,SAE2,20
medium ,SAE2,0
low,SAE2,0
not detected,SAE2,0
,SAE2,0
high,SEPTIN9,0
medium ,SEPTIN9,30
low,SEPTIN9,0
not detected,SEPTIN9,0
,SEPTIN9,0
high,SF3A1,0
medium ,SF3A1,30
low,SF3A1,30
not detected,SF3A1,0
,SF3A1,0
high,SSB,20
medium ,SSB,20
low,SSB,0
not detected,SSB,0
,SSB,0
high,STIP1,0
medium ,STIP1,20
low,STIP1,0
not detected,STIP1,50
,STIP1,0
high,STRAP,0
medium ,STRAP,50
low,STRAP,0
not detected,STRAP,0
,STRAP,0
high,TBCA,0
medium ,TBCA,20
low,TBCA,0
not detected,TBCA,0
,TBCA,0
high,TPD52L2,0
medium ,TPD52L2,30
low,TPD52L2,0
not detected,TPD52L2,0
,TPD52L2,0
high,TRIM28,30
medium ,TRIM28,30
low,TRIM28,0
not detected,TRIM28,0
,TRIM28,0
